"frequencies"
0.3873
0.5433
0.5186
0.5653
0.627
0.5463
0.4967
0.5562
0.5589
0.6735
0.5084
0.4583
0.4133
0.4858
0.583
0.5101
0.4813
0.554
0.5912
0.4239
0.5356
0.4234
0.56
0.5654
0.3676
0.4592
0.5353
0.4825
0.5531
0.4652
0.5352
0.5932
0.4181
0.5888
0.6245
0.4013
0.4797
0.5057
0.4146
0.5114
0.5439
0.5928
0.4253
0.4468
0.5566
0.6842
0.617
0.5058
0.561
0.4625
0.5347
0.6679
