Binomial,Realm,TrophicLevel,TrophicNiche,ForagingNiche,Family,Order,Habitat,PrimaryLifestyle,MinLatitude,MaxLatitude,CentroidLatitude,CentroidLongitude,RangeSize,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Secondary1,Tail.Length,Mass
Coracina_incerta,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-10.7,0.11,-4.93,141.4,348235.08,22.8,15.8,7.4,7.3,22.8,114.5,82.3,87,58.9
Coracina_javensis,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-8.85,34.13,20.34,101.76,3632403.85,28.5,17.5,10.9,11.4,24.8,155.2,104.2,117.2,68
Coracina_larvata,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-8.36,6.55,0.2,108.51,524076.97,26.9,17,9.8,10.2,24.2,142.2,100.8,119.8,68
Coracina_leucopygia,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Woodland,Insessorial,-5.71,1.84,-2.11,121.1,154181.01,24.6,16,8.5,8.8,23.2,142.8,98.2,112,68
Coracina_lineata,Australian,Herbivore,Frugivore,Fugivore glean,Campephagidae,Passeriformes,Forest,Insessorial,-35.2,-0.01,-13.78,145.86,643371.3,22.9,13.1,6.4,7.9,23.4,139.8,92.2,107.2,76
Coracina_longicauda,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-10.13,-3.37,-5.56,142.53,135269.83,26.3,15.9,9.2,9.2,30.8,172.2,129.9,153.8,101
Coracina_macei,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,5.92,31.27,20.18,79.29,2249595.09,28.2,18.8,11.5,10.6,25.5,165.8,115.3,128,68
Coracina_maxima,Australian,Carnivore,Invertivore,Invertivore ground,Campephagidae,Passeriformes,Shrubland,Terrestrial,-38.43,-12.21,-26.11,134.96,6390802.08,24.9,16.4,7,8,36.6,205.5,122.2,186.5,127
Coracina_mcgregori,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,5.78,9.36,7.52,125.04,13707.89,21.7,12.7,6.8,7,23.2,98.5,78,98,42.6
Coracina_melanoptera,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,5.92,32.41,20.13,79.43,993885.08,18,10.8,4.7,5,19.6,100.9,74.2,82.2,29.4
Coracina_melas,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-10.7,0.04,-5.36,141.03,592908.62,23.1,14.2,6.6,6.9,22.3,117.1,95.2,92.9,59.4
Coracina_melaschistos,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,14.24,41.13,27.04,105.6,4751722.92,19.8,11.9,5.2,5.7,21.8,115,84.4,107.5,43
Coracina_mindanensis,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,5.05,18.65,11.98,123.09,234173.68,24.1,14.7,7.6,7.5,22,114.1,88.4,93.5,58.7
Coracina_montana,Australian,Herbivore,Frugivore,Fugivore glean,Campephagidae,Passeriformes,Forest,Insessorial,-10.22,-0.34,-4.99,141.21,289775.96,22.1,12.6,5.4,6.7,25.3,128.5,86.3,100.8,79.2
Coracina_morio,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-5.71,4.8,-2.11,121.19,172301.98,21.7,13.8,6.4,6.5,20.6,109.9,81.8,93.2,58.1
Coracina_newtoni,Madagascar,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-20.98,-20.94,-20.96,55.44,28.71,18.4,11.1,5.2,6,23.7,96.2,75.5,82.8,68
Coracina_novaehollandiae,Australian,Carnivore,Invertivore,Invertivore sally ground,Campephagidae,Passeriformes,Forest,Insessorial,-43.64,-8.04,-25.69,134.52,7703886.1,24.3,15.7,7.7,9,26.5,188.9,117.9,144.2,118
Coracina_ostenta,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,9.04,11.94,10.58,122.74,23404.52,27.5,16.2,8.2,9,22.4,128.6,97.2,117,68
Coracina_papuensis,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Woodland,Insessorial,-39.24,2.65,-20.83,142.03,4454361.88,30,18.7,9.6,10,23.2,146.7,102.3,111.2,63.5
Coracina_parvula,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-0.77,2.23,0.92,128.01,16787.04,26.8,15.7,8.1,8.7,22.6,142,100.6,117,68
Coracina_pectoralis,Afrotropic,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Woodland,Insessorial,-26.34,14.18,-4,22.74,6110219.71,23.9,15.1,9.3,7.8,21.8,134.6,95.2,114.8,54.4
Coracina_personata,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-10.94,-5.27,-8.87,122.9,84599.53,31.9,18.5,10.3,12.1,26.4,162,118.3,146,68
Coracina_polioptera,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,8.56,20.93,15.45,101.95,932555.61,19,11.4,5.7,5.5,19.8,111.2,79.4,104,35.8
Coracina_schistacea,Australian,Carnivore,Omnivore,NA,Campephagidae,Passeriformes,Forest,Insessorial,-2.49,-1.16,-1.71,124.44,7293.2,29.3,19.5,11,11.8,26.3,156.1,103.7,135.2,68
Coracina_schisticeps,Australian,Herbivore,Frugivore,Fugivore glean,Campephagidae,Passeriformes,Forest,Insessorial,-10.21,-0.72,-4.72,140.83,166507.11,23.2,14.5,6.2,7.2,22.3,117.2,84.9,94.8,52.8
Coracina_striata,Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-7.21,18.65,2.76,110.57,1479840.16,29.1,19.4,11.1,11.1,23.2,149.9,102,106.8,111
Coracina_sula,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-2.49,-1.63,-1.88,125.15,4678.13,25.4,15.9,7.1,7.8,23,118,85.5,106.3,68
Coracina_temminckii,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-4.84,1.76,-1.6,121.26,145760.19,27.9,17.3,9.6,9.7,23.5,151.2,113.8,152.5,68
Coracina_tenuirostris,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Shrubland,Insessorial,-38.89,9.64,-16.07,143,2272508.78,24.8,15.3,7.3,7.5,24.4,112,82.4,93,60.9
Coracina_typica,Madagascar,Carnivore,Invertivore,Invertivore glean arboreal,Campephagidae,Passeriformes,Forest,Insessorial,-20.5,-20.32,-20.42,57.47,116.81,22.8,13.7,6.6,7.3,26.6,105.5,82.1,89,42.9
Coracopsis_nigra,Madagascar,Herbivore,Frugivore,Fugivore glean,Psittacidae,Psittaciformes,Forest,Insessorial,-25.61,-4.27,-19.38,46.7,591648.04,26.3,18.9,12.7,19.1,20.4,199.9,126.6,144.8,186.2
Coracopsis_vasa,Madagascar,Herbivore,Frugivore,Fugivore glean,Psittacidae,Psittaciformes,Forest,Insessorial,-25.61,-11.36,-19.53,46.69,413210.96,44.9,36.4,22.8,35.2,29.8,307.8,188.3,203,525
Coracornis_raveni,Australian,Carnivore,Invertivore,Invertivore sally surface,Pachycephalidae,Passeriformes,Forest,Insessorial,-3.69,1.11,-2.07,120.19,11498.5,14.3,8.5,4.3,4.4,22.6,80,63.6,66.2,36
Coragyps_atratus,Neotropic,Omnivore,Scavenger,Scavenger ground,Cathartidae,Accipitriformes,Human Modified,Terrestrial,-50.31,41.66,-4.79,-67.36,21173636.93,58.8,34,14.1,15.9,72.9,411,352.6,185.5,1881.7
Corapipo_altera,Neotropic,Herbivore,Frugivore,Fugivore aerial,Pipridae,Passeriformes,Forest,Insessorial,3.23,15.88,10.56,-82.26,177536.18,10.1,5.6,3.5,3.6,15.9,58,47.1,28.5,11.8
Corapipo_gutturalis,Neotropic,Omnivore,Frugivore,Fugivore aerial,Pipridae,Passeriformes,Forest,Insessorial,-3.09,7.51,2.81,-57.75,1107394.3,9.9,5.9,3.1,3.2,15,56.5,44.9,27.5,8.2
Corapipo_leucorrhoa,Neotropic,Herbivore,Frugivore,Fugivore aerial,Pipridae,Passeriformes,Forest,Insessorial,5.51,11.22,7.68,-73.71,89572.4,10,5.6,3.3,3.7,15.6,58.6,47.5,29,11.7
Corcorax_melanorhamphos,Australian,Omnivore,Omnivore,NA,Corcoracidae,Passeriformes,Woodland,Terrestrial,-39.24,-18.62,-30.38,146.06,1979313.45,50.4,33.6,9.3,12,61.8,248,192.2,202.2,364
Cormobates_leucophaea,Australian,Carnivore,Invertivore,Invertivore bark,Climacteridae,Passeriformes,Forest,Insessorial,-39.15,-14.8,-31.52,148.09,969111.73,20.6,11.2,2.5,3.2,21,86.8,60.3,64.2,22
Cormobates_placens,Australian,Carnivore,Invertivore,Invertivore bark,Climacteridae,Passeriformes,Forest,Insessorial,-10.07,-0.51,-5.21,141.52,131752.2,15.9,8.2,2.9,3,20,83,62.3,65,22.4
Corvinella_corvina,Afrotropic,Carnivore,Invertivore,Invertivore sally ground,Laniidae,Passeriformes,Shrubland,Insessorial,-0.68,17.05,10.49,6.82,3469655.34,23.1,13,6.5,10.5,30.3,118.7,95.6,158.7,65.4
Corvus_albicollis,Afrotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Rock,Terrestrial,-34.84,2.4,-17.3,30.73,1615598.28,63.8,42.4,17.3,32.8,69.7,421.5,251.8,164.8,894
Corvus_albus,Afrotropic,Carnivore,Omnivore,NA,Corvidae,Passeriformes,Shrubland,Terrestrial,-34.84,24.93,-2.98,21.16,19544750.22,59.4,38.5,14.3,20.4,58.1,345.2,199.6,178.8,524
Corvus_bennetti,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Shrubland,Generalist,-36.03,-14.76,-25.69,131.69,5681813.47,49.6,32,12.9,16.8,53.2,316.2,184.9,179,389
Corvus_brachyrhynchos,Nearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Human Modified,Terrestrial,24.53,63.75,46.23,-97.42,11573830.54,49.3,35.3,13.2,17.3,56.8,311.6,202,186.3,448.8
Corvus_capensis,Afrotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Grassland,Terrestrial,-34.84,16.79,-16.5,25.35,4036026.48,61.7,46.6,14.5,17.2,66.6,339.2,219.9,171.2,553
Corvus_caurinus,Nearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Coastal,Terrestrial,46.22,61.54,54.81,-133.88,396973.08,45.4,31,11.6,15.1,46.5,270.5,168.1,155.5,390.8
Corvus_corax,Palearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Terrestrial,12.76,83.11,54.65,18.59,52288449.5,80,47.4,20.3,27.5,66.8,417.5,278.6,246.2,928
Corvus_corone,Palearctic,Carnivore,Omnivore,NA,Corvidae,Passeriformes,Human Modified,Terrestrial,22.23,71.19,52.96,78.23,33343165.09,53.7,35.9,14.5,18.2,58.5,322.6,203.8,178.5,570
Corvus_coronoides,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Shrubland,Generalist,-39.24,-12.68,-27.75,138.57,4803477.78,58.6,39.8,14.1,20.2,59.5,357.2,209.9,205.5,644.3
Corvus_crassirostris,Afrotropic,Carnivore,Omnivore,NA,Corvidae,Passeriformes,Rock,Terrestrial,3.67,16.58,9.52,38.34,759238.98,83.4,56.7,23.4,42.1,76.8,440,263.8,227,1135
Corvus_cryptoleucus,Nearctic,Carnivore,Omnivore,NA,Corvidae,Passeriformes,Grassland,Terrestrial,20.83,38.76,29.63,-103.06,1195845.67,53.1,34.3,17.9,20.3,56.7,346,208.2,191.2,533.5
Corvus_dauuricus,Palearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Grassland,Terrestrial,24.37,53.48,41.79,113.35,6025004.51,31.8,20.3,9.8,13.1,41.4,229.8,139.9,127.8,208
Corvus_edithae,Afrotropic,Carnivore,Omnivore,NA,Corvidae,Passeriformes,Desert,Terrestrial,1.33,15.5,6.95,42.04,1179817.28,49,30.9,13.4,18.1,58.5,334.1,196.1,172.1,524
Corvus_enca,Indo_Malay,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,-8.85,19.58,1.18,113.23,1656902.54,54.9,36.7,13.6,18.1,48.8,275.4,185.6,141.1,251
Corvus_florensis,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,-8.96,-8.23,-8.61,120.62,9095.62,50.5,27.7,8.7,15,42.7,223,165.9,160,501.9
Corvus_frugilegus,Palearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Grassland,Terrestrial,28.08,66.07,50.24,76.75,19019081.22,57.8,38.5,14,18,50.5,306.2,180,169.5,452.1
Corvus_fuscicapillus,Australian,Herbivore,Frugivore,Fugivore glean,Corvidae,Passeriformes,Forest,Insessorial,-7.09,0.04,-3.48,135.39,18445.52,74.2,51.6,17.1,26.3,52.3,332.7,234.5,206.7,501.9
Corvus_hawaiiensis,Oceania,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,NA,NA,NA,NA,NA,54.8,38.3,17,23.9,64.4,309.2,217.2,188,518.8
Corvus_imparatus,Nearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Shrubland,Terrestrial,21.01,26.29,23.69,-98.62,99924.43,38.3,26.3,11.5,12.5,38,241.5,157.7,143.2,221
Corvus_jamaicensis,Neotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,17.7,18.53,18.16,-77.31,11021.79,46.9,32.1,12.2,16.6,43,223.8,161.1,139.5,338
Corvus_kubaryi,Oceania,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,14.11,14.2,14.16,145.22,92.35,55.1,37,12.1,17.9,51.4,232,169,157.8,249.9
Corvus_leucognaphalus,Neotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,17.47,19.44,18.75,-71.16,8280.85,56.9,41,14,20,47.8,299.2,195.2,188,501.9
Corvus_levaillantii,Indo_Malay,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Woodland,Generalist,5.92,33.6,22.96,87.6,4386761.18,59.6,40.5,17.6,22.3,54.4,306.9,198,178.3,513.1
Corvus_macrorhynchos,Palearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Woodland,Generalist,-10.74,55.35,30.88,113.14,10555052.47,61.4,41.9,16.7,21.9,54.7,315.5,199.5,183.1,513.1
Corvus_meeki,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,NA,Insessorial,-7.43,-5.01,-6.2,155.28,9689.88,67.5,48.6,17.1,23,51.2,266,193.8,129.8,501.9
Corvus_mellori,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Shrubland,Generalist,-40.48,-28.51,-33.29,143.8,1353458.96,54.9,36.2,12.9,17.8,54.7,331,199.1,187.5,540.4
Corvus_minutus,Neotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,NA,NA,NA,NA,NA,45.5,31.5,11.6,16.6,50.4,241.8,158,141.5,287.8
Corvus_monedula,Palearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Human Modified,Terrestrial,30.35,67.35,48.54,45.36,13975046.48,31.5,21.5,10.4,13.5,41.5,232.2,136.8,124,246
Corvus_moneduloides,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Woodland,Generalist,-22.4,-20.09,-21.33,165.48,16389.59,42.3,28.4,10.7,17,45.2,232.5,177.9,166,277.4
Corvus_nasicus,Neotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,19.83,22.66,21.23,-78.12,28429.7,56.1,40,13.4,18.8,50.6,268.5,173.2,158.5,401
Corvus_orru,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Generalist,-33.75,2.64,-19.31,134.89,5438982.3,60.3,41.1,15.7,20.5,54.2,317,207.3,166,508
Corvus_ossifragus,Nearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Coastal,Terrestrial,24.53,44.92,33.75,-84.16,970986.53,40.4,27.2,11.9,13.7,44.1,265.5,170,152.5,284.6
Corvus_palmarum,Neotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,NA,NA,NA,NA,NA,46.4,31.1,10.6,15.2,45.7,243,159.9,142.5,289
Corvus_rhipidurus,Afrotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Grassland,Terrestrial,-1.05,32.34,13.86,37.62,2756382.95,56.5,34.5,15.2,21.8,62.9,388.8,256.8,160.2,611
Corvus_ruficollis,Palearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Desert,Terrestrial,11.76,47.08,25.01,24.06,12915376.88,64.2,41.5,15.5,21.3,62.1,378.1,202.6,194.8,573.5
Corvus_sinaloae,Neotropic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Generalist,20.71,28.08,24.72,-106.93,95101.34,41.2,28.8,11.1,13.3,38,245.8,158,156,244
Corvus_splendens,Indo_Malay,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Human Modified,Terrestrial,5.92,35.52,23.16,80.57,4469957.42,46.6,30.3,13.3,16.3,42.9,255.9,162,154.6,292.6
Corvus_tasmanicus,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Woodland,Generalist,-43.64,-28.71,-36.48,146.37,374479.03,61.4,40.6,14.9,19.2,60,339.5,207.5,186,676.3
Corvus_torquatus,Palearctic,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Shrubland,Terrestrial,18.1,40.82,29.49,113.94,2074732.63,53.1,34.6,13.1,17.8,57.5,303.5,201.8,166.2,470.5
Corvus_tristis,Australian,Omnivore,Frugivore,Fugivore glean,Corvidae,Passeriformes,Forest,Insessorial,-10.7,-0.34,-5.27,140.93,693202.25,63.4,43.2,17.4,24.8,50.5,325.9,226,235.4,635
Corvus_typicus,Australian,Carnivore,Invertivore,Invertivore glean arboreal,Corvidae,Passeriformes,Forest,Insessorial,-5.7,-1.09,-3.18,120.87,104370.92,41.7,28.5,11.9,16.4,39.2,202.5,145.9,107,501.9
Corvus_unicolor,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,-1.44,-1.24,-1.28,122.97,137.99,47,30.5,13.5,17.1,44.5,198.5,139.3,101,501.9
Corvus_validus,Australian,Herbivore,Frugivore,Fugivore glean,Corvidae,Passeriformes,Forest,Insessorial,-1.74,2.65,0.64,127.98,24724.98,74.1,53.4,16.3,22.6,51.6,328.5,201.6,167,501.9
Corvus_woodfordi,Australian,Omnivore,Omnivore,NA,Corvidae,Passeriformes,Forest,Insessorial,-9.95,-6.59,-8.45,159.03,13034.76,62.5,45.2,16.7,23.5,47.2,264.3,185.6,143.5,467
Corydon_sumatranus,Indo_Malay,Carnivore,Invertivore,Generalist,Eurylaimidae,Passeriformes,Forest,Insessorial,-5.95,20.44,6.66,106.24,2209826.9,24.4,17.1,19.8,16.2,22,126.2,101.2,93.2,140
Coryphaspiza_melanotis,Neotropic,Omnivore,Omnivore,NA,Emberizidae,Passeriformes,Grassland,Terrestrial,-29.56,-0.17,-18.86,-53.75,2184668.56,13.5,7.5,4.6,5.6,19.2,58.5,49.6,54.2,15.7
Coryphistera_alaudina,Neotropic,Carnivore,Invertivore,Invertivore ground,Furnariidae,Passeriformes,Shrubland,Terrestrial,-40.79,-18.18,-29.27,-62.64,1447474.66,16.3,10.6,3.7,4.6,25,73,61.3,66.6,30
Coryphospingus_cucullatus,Neotropic,Herbivore,Omnivore,NA,Emberizidae,Passeriformes,Shrubland,Generalist,-37.21,7.69,-22.49,-55.95,4048063.88,13.2,8.2,4.5,6.2,18.3,61,55.5,57.5,14.3
Coryphospingus_pileatus,Neotropic,Omnivore,Omnivore,NA,Emberizidae,Passeriformes,Shrubland,Terrestrial,-23.1,12.46,-9.17,-47.14,2758347.74,12.2,9.2,6.2,6.6,17.4,63.7,52.1,57.1,15.3
Corythaeola_cristata,Afrotropic,Herbivore,Frugivore,Fugivore glean,Musophagidae,Musophagiformes,Forest,Insessorial,-11.06,11.59,1.55,16.15,3896093.97,38.9,18.8,9.2,18.6,53.9,314.2,280.1,350.1,965
Corythaixoides_concolor,Afrotropic,Herbivore,Frugivore,Fugivore glean,Musophagidae,Musophagiformes,Grassland,Insessorial,-29.07,-6.29,-17.21,27.41,3808237.76,25.3,12.7,7.9,13.5,38.6,217,177.2,237.2,258
Corythaixoides_leucogaster,Afrotropic,Herbivore,Omnivore,NA,Musophagidae,Musophagiformes,Grassland,Insessorial,-8.83,14.91,3.09,39.51,2293621.91,22.9,12.1,8.5,11.2,43.2,218.8,180.9,262.5,216.2
Corythaixoides_personatus,Afrotropic,Herbivore,Frugivore,Fugivore glean,Musophagidae,Musophagiformes,Woodland,Insessorial,-10.67,10.12,-4.18,33.34,720237.77,25.9,12.3,7.8,13.1,39.7,207.7,175.1,243,250
Corythopis_delalandi,Neotropic,Carnivore,Invertivore,Invertivore ground,Tyrannidae,Passeriformes,Forest,Terrestrial,-28.97,-8.87,-19.35,-51.03,2526735.17,15.4,8.9,3.8,3.4,23.2,63.8,55.2,48.5,15
Corythopis_torquatus,Neotropic,Carnivore,Invertivore,Invertivore ground,Tyrannidae,Passeriformes,Forest,Terrestrial,-16.99,10.23,-3.71,-62.5,6636740.57,15.9,8.7,4.3,3.6,25.9,66.1,54.5,52.6,14.3
Coscoroba_coscoroba,Neotropic,Omnivore,Aquatic predator,Aquatic surface,Anatidae,Anseriformes,Wetland,Terrestrial,-55.05,-20.81,-39.78,-66.44,1907875.57,63.8,40.3,27.1,19.2,81.9,421.2,240.8,130,4294.8
Cosmopsarus_regius,Afrotropic,Carnivore,Invertivore,Invertivore ground,Sturnidae,Passeriformes,Shrubland,Generalist,-5.42,10.99,3.65,41.88,1243437.56,21.4,12.7,4.4,5,31.7,128,88.7,203.8,53.8
Cosmopsarus_unicolor,Afrotropic,Carnivore,Invertivore,Invertivore ground,Sturnidae,Passeriformes,Woodland,Terrestrial,-9.41,-3.02,-5.8,35.26,309310.94,20.9,12.4,4.4,5.2,33.5,123.5,92.8,162.9,60.2
Cossypha_albicapilla,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Woodland,Terrestrial,5.27,15.81,10.07,-0.45,1269495.3,23.7,14.5,5,6,33.8,123.5,103.5,129.5,58.5
Cossypha_anomala,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Forest,Terrestrial,-16.59,-3.49,-8.92,35.29,119658.8,16.5,9,3.3,3.8,31.2,75.2,64.6,64.4,24.5
Cossypha_archeri,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Forest,Terrestrial,-5.22,0.76,-2.32,29.28,60103.14,15.5,8.4,3.5,3.8,29.3,71.8,64,55,22.8
Cossypha_caffra,Afrotropic,Carnivore,Invertivore,Generalist,Muscicapidae,Passeriformes,Forest,Generalist,-34.84,4.66,-21.08,28.87,1628062.49,17.7,10,3.6,4,30.3,81.9,69,75.4,28.5
Cossypha_cyanocampter,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Shrubland,Generalist,-4.04,10.15,3.99,11.26,1817635.07,17.7,10.2,3.9,4.4,26.7,81.6,74,75.4,26.7
Cossypha_dichroa,Afrotropic,Carnivore,Invertivore,Invertivore glean arboreal,Muscicapidae,Passeriformes,Forest,Insessorial,-34.21,-22.57,-29.05,29.36,253533.92,19.4,10.9,4.1,5.2,30.2,96.8,80.2,82.2,45.8
Cossypha_heinrichi,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Forest,Generalist,-8.95,-3.9,-4.39,15.99,6203.48,22.5,13.4,5.1,5.7,34,114,96.7,141,60.3
Cossypha_heuglini,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Riverine,Terrestrial,-29.33,13.74,-8.37,28.43,6366999.37,18.3,10.1,3.9,4.6,28.8,93.6,81.2,83.8,34.8
Cossypha_humeralis,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Woodland,Terrestrial,-29.52,-17.24,-23.15,30.3,644971.31,17,9.5,3.2,3.9,26.6,73.8,64.9,70.2,22.8
Cossypha_isabellae,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Forest,Generalist,4.07,7.62,6.12,10.56,51494.15,16.2,9.2,4.2,4.2,29.4,73,63.3,51.8,24
Cossypha_natalensis,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Woodland,Terrestrial,-33.55,9.39,-9.36,29.73,3643626.52,17.4,10.1,4.1,4.3,25.9,89.7,72.8,76.7,34.1
Cossypha_niveicapilla,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Woodland,Generalist,-7.97,17.2,7.66,8.08,5176063.97,18.9,11,4.4,4.8,27.8,94.8,78.4,89.8,36.7
Cossypha_polioptera,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Shrubland,Terrestrial,-12.12,10.53,1.93,17.35,644019.5,15.8,8.8,4.6,4.1,24.9,77.6,66.7,62,18.7
Cossypha_semirufa,Afrotropic,Carnivore,Invertivore,Invertivore ground,Muscicapidae,Passeriformes,Forest,Generalist,-3.94,16.5,7.26,37.81,865714.31,16,8.9,3.6,4,28.8,74.6,68.1,64.5,27.3
Cossyphicula_roberti,Afrotropic,Carnivore,Invertivore,Invertivore glean arboreal,Muscicapidae,Passeriformes,Forest,Insessorial,-4.27,7.09,0.88,21.44,100769,14.3,8.3,4.1,3.7,18.9,66,56.4,48.5,34
Cotinga_amabilis,Neotropic,Herbivore,Frugivore,Fugivore aerial,Cotingidae,Passeriformes,Forest,Insessorial,8.8,19.04,15.79,-89.47,297726.28,16.6,9.4,5.3,5.6,21.4,107.6,81.8,72.8,71.5
Cotinga_cayana,Neotropic,Herbivore,Frugivore,Fugivore aerial,Cotingidae,Passeriformes,Forest,Insessorial,-16.65,8.78,-3.31,-62.63,6353282.74,18.8,10.1,6.7,5.4,21.2,108.2,91,76.6,61.8
Cotinga_cotinga,Neotropic,Herbivore,Frugivore,Fugivore aerial,Cotingidae,Passeriformes,Forest,Insessorial,-11.59,7.69,-0.15,-56.83,1911359.27,16.7,8.9,5.6,4.8,20.7,105.2,82.1,65.2,54
Cotinga_maculata,Neotropic,Omnivore,Frugivore,Fugivore aerial,Cotingidae,Passeriformes,Forest,Insessorial,-16.94,-13.72,-15.14,-39.52,30327.88,17.4,9.8,5.9,5.3,22.5,114.2,84.5,71.5,65
Cotinga_maynana,Neotropic,Herbivore,Frugivore,Fugivore aerial,Cotingidae,Passeriformes,Forest,Insessorial,-13.61,2.19,-5.7,-69.16,2547258.17,18.1,10.5,5.2,5.5,22,111,83.6,72.8,69
