tag,diameter,fruit,year
16935,329,86,1
16935,329,115,2
20044,316,6,1
20044,316,204,2
23568,257,35,1
23568,257,269,2
23623,395,175,1
41726,335,76,1
41726,335,235,2
46484,428,273,1
46484,428,388,2
64447,398,110,1
64447,398,8,2
66623,437,152,1
66623,437,111,2
72720,312,5,1
72720,312,22,2
72720,312,3,3
107296,295,196,1
107296,295,100,2
107296,295,21,3
112312,261,11,1
112312,261,13,2
112312,261,4,3
112956,207,11,3
126557,315,58,1
126557,315,299,2
126557,315,69,3
143796,307,19,2
153928,440,25,1
153928,440,36,2
155537,345,133,1
155537,345,9,2
155537,345,70,3
155636,335,163,1
155636,335,29,2
155636,335,71,3
155642,345,9,1
155642,345,74,3
155646,282,69,1
155646,282,5,3
156239,225,22,2
156239,225,11,3
157510,285,86,1
157510,285,86,2
157510,285,152,3
159057,425,435,1
159057,425,363,2
159057,425,2901,3
174053,250,12,1
174053,250,1,3
180870,379,120,1
180870,379,26,2
180870,379,3,3
180904,319,10,1
180910,245,9,1
181416,420,28,1
181416,420,229,2
181416,420,16,3
183419,303,1,3
183737,418,169,3
183834,550,433,1
183834,550,2639,2
183834,550,80,3
183847,470,292,1
183847,470,1040,2
183847,470,216,3
185937,261,2,3
191432,467,71,1
191432,467,171,2
191432,467,38,3
192955,207,3,3
193981,232,27,1
193981,232,64,3
194113,221,1,3
195073,440,134,1
195073,440,66,2
195073,440,20,3
195107,298,242,1
195107,298,82,3
199357,278,3,3
199801,436,211,1
199892,307,129,1
199892,307,461,2
199892,307,323,3
199900,268,46,1
199900,268,4,2
199900,268,136,3
199949,290,5,1
199949,290,45,2
199949,290,181,3
199957,422,218,1
199957,422,356,2
199957,422,235,3
206350,312,23,1
206350,312,25,3
222732,296,4,1
224196,289,3,1
224228,292,24,1
224488,304,4,1
232832,515,89,1
232832,515,266,3
246710,295,5,3
252478,384,12,1
256797,571,96,1
256797,571,99,2
256797,571,185,3
256961,337,12,1
256961,337,165,3
257174,227,14,2
257174,227,15,3
257705,376,13,3
276455,396,512,1
276455,396,247,2
276455,396,177,3
305008,304,3,2
409554,336,12,1
409554,336,11,2
